user_id,timestamp,dataset_source,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,source_tracker,source_staff,frekuensi_aktivitas_per_user,frekuensi_per_user_per_source,pola_waktu_akses,rasio_weekend_per_user,rasio_outside_hours_per_user
8,2025-01-02 14:24:36,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:24:37,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:25:37,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:25:46,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:26:28,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:26:41,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
7,2025-01-02 14:27:43,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:28:05,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:28:06,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:28:24,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
8,2025-01-02 14:28:33,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
2,2025-01-02 14:28:57,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
2,2025-01-02 14:29:09,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:29:25,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:29:47,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:30:18,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:31:02,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:31:15,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:31:17,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:32:22,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:32:45,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:32:48,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:32:49,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:33:01,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
1,2025-01-02 14:33:05,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
5,2025-01-02 14:33:30,tracker,14,3,1,2,0,0,0,1,0,108,108,1.2263335928681418,0.2777777777777778,0.0
2,2025-01-02 14:33:48,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
10,2025-01-02 14:33:59,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
2,2025-01-02 14:33:59,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
2,2025-01-02 14:34:10,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
2,2025-01-02 14:34:30,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
2,2025-01-02 14:34:40,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:35:20,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:35:47,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:36:37,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:37:08,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:37:09,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
5,2025-01-02 14:37:34,tracker,14,3,1,2,0,0,0,1,0,108,108,1.2263335928681418,0.2777777777777778,0.0
1,2025-01-02 14:38:06,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
1,2025-01-02 14:38:10,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
2,2025-01-02 14:38:10,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:38:14,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:38:16,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
5,2025-01-02 14:38:34,tracker,14,3,1,2,0,0,0,1,0,108,108,1.2263335928681418,0.2777777777777778,0.0
2,2025-01-02 14:40:15,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
1,2025-01-02 14:40:39,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
10,2025-01-02 14:41:00,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
2,2025-01-02 14:41:17,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
5,2025-01-02 14:41:42,tracker,14,3,1,2,0,0,0,1,0,108,108,1.2263335928681418,0.2777777777777778,0.0
1,2025-01-02 14:41:50,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
8,2025-01-02 14:42:00,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
8,2025-01-02 14:43:11,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
1,2025-01-02 14:43:27,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
1,2025-01-02 14:43:33,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
7,2025-01-02 14:43:42,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:43:46,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
1,2025-01-02 14:44:31,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
10,2025-01-02 14:44:42,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
7,2025-01-02 14:45:11,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
10,2025-01-02 14:45:51,tracker,14,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
7,2025-01-02 14:46:00,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:46:06,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
8,2025-01-02 14:46:13,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:46:32,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:47:36,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:48:15,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:49:01,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
2,2025-01-02 14:49:01,tracker,14,3,1,2,0,0,0,1,0,103,103,0.8853999043776759,0.0,0.0
7,2025-01-02 14:49:24,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:49:55,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:50:04,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:50:39,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:50:41,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 14:50:51,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
9,2025-01-02 14:51:00,tracker,14,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
7,2025-01-02 14:51:07,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
1,2025-01-02 14:51:46,tracker,14,3,1,2,0,0,0,1,0,431,431,2.2585389568020386,0.23201856148491878,0.0
7,2025-01-02 14:51:54,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:52:40,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
8,2025-01-02 14:52:45,tracker,14,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
7,2025-01-02 14:52:58,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 14:53:02,tracker,14,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
